"crim","zn","indus","chas","nox","rm","age","dis","rad","tax","ptratio","lstat","medv"
4.8357,0,18.1,0,0.583,5.905,53.2,3.1523,24,666,20.2,11.45,20.6
5.872,0,18.1,0,0.693,6.405,96,1.6768,24,666,20.2,19.37,12.5
0.31533,0,6.2,0,0.504,8.266,78.3,2.8944,8,307,17.4,4.14,44.8
15.177,0,18.1,0,0.74,6.152,100,1.9142,24,666,20.2,26.45,8.7
0.22927,0,6.91,0,0.448,6.03,85.5,5.6894,3,233,17.9,18.8,16.6
45.746,0,18.1,0,0.693,4.519,100,1.6582,24,666,20.2,36.98,7
0.61154,20,3.97,0,0.647,8.704,86.9,1.801,5,264,13,5.12,50
2.6355,0,9.9,0,0.544,4.973,37.8,2.5194,4,304,18.4,12.64,16.1
10.233,0,18.1,0,0.614,6.185,96.7,2.1705,24,666,20.2,18.03,14.6
0.05479,33,2.18,0,0.472,6.616,58.1,3.37,7,222,18.4,8.93,28.4
14.334,0,18.1,0,0.7,4.88,100,1.5895,24,666,20.2,30.62,10.2
15.874,0,18.1,0,0.671,6.545,99.1,1.5192,24,666,20.2,21.08,10.9
0.24103,0,7.38,0,0.493,6.083,43.7,5.4159,5,287,19.6,12.79,22.2
1.0025,0,8.14,0,0.538,6.674,87.3,4.239,4,307,21,11.98,21
6.9622,0,18.1,0,0.7,5.713,97,1.9265,24,666,20.2,17.11,15.1
0.04203,28,15.04,0,0.464,6.442,53.6,3.6659,4,270,18.2,8.16,22.9
0.05302,0,3.41,0,0.489,7.079,63.1,3.4145,2,270,17.8,5.7,28.7
5.67,0,18.1,1,0.631,6.683,96.8,1.3567,24,666,20.2,3.73,50
0.41238,0,6.2,0,0.504,7.163,79.9,3.2157,8,307,17.4,6.36,31.6
0.35809,0,6.2,1,0.507,6.951,88.5,2.8617,8,307,17.4,9.71,26.7
5.7082,0,18.1,0,0.532,6.75,74.9,3.3317,24,666,20.2,7.74,23.7
0.14103,0,13.92,0,0.437,5.79,58,6.32,4,289,16,15.84,20.3
9.3389,0,18.1,0,0.679,6.38,95.6,1.9682,24,666,20.2,24.08,9.5
0.19539,0,10.81,0,0.413,6.245,6.2,5.2873,4,305,19.2,7.54,23.4
9.9166,0,18.1,0,0.693,5.852,77.8,1.5004,24,666,20.2,29.97,6.3
0.09068,45,3.44,0,0.437,6.951,21.5,6.4798,5,398,15.2,5.1,37
9.2323,0,18.1,0,0.631,6.216,100,1.1691,24,666,20.2,9.53,50
0.08199,0,13.92,0,0.437,6.009,42.3,5.5027,4,289,16,10.4,21.7
0.06911,45,3.44,0,0.437,6.739,30.8,6.4798,5,398,15.2,4.69,30.5
13.36,0,18.1,0,0.693,5.887,94.7,1.7821,24,666,20.2,16.35,12.7
2.4495,0,19.58,0,0.605,6.402,95.2,2.2625,5,403,14.7,11.32,22.3
0.09604,40,6.41,0,0.447,6.854,42.8,4.2673,4,254,17.6,2.98,32
0.06162,0,4.39,0,0.442,5.898,52.3,8.0136,3,352,18.8,12.67,17.2
2.8184,0,18.1,0,0.532,5.762,40.3,4.0983,24,666,20.2,10.42,21.8
0.15038,0,25.65,0,0.581,5.856,97,1.9444,2,188,19.1,25.41,17.3
0.07503,33,2.18,0,0.472,7.42,71.9,3.0992,7,222,18.4,6.47,33.4
18.498,0,18.1,0,0.668,4.138,100,1.137,24,666,20.2,37.97,13.8
1.1929,0,21.89,0,0.624,6.326,97.7,2.271,4,437,21.2,12.26,19.6
0.06047,0,2.46,0,0.488,6.153,68.8,3.2797,3,193,17.8,13.15,29.6
19.609,0,18.1,0,0.671,7.313,97.9,1.3163,24,666,20.2,13.44,15
0.54011,20,3.97,0,0.647,7.203,81.8,2.1121,5,264,13,9.59,33.8
0.75026,0,8.14,0,0.538,5.924,94.1,4.3996,4,307,21,16.3,15.6
0.1265,25,5.13,0,0.453,6.762,43.4,7.9809,8,284,19.7,9.5,25
5.0902,0,18.1,0,0.713,6.297,91.8,2.3682,24,666,20.2,17.27,16.1
1.3428,0,19.58,0,0.605,6.066,100,1.7573,5,403,14.7,6.43,24.3
13.913,0,18.1,0,0.713,6.208,95,2.2222,24,666,20.2,15.17,11.7
0.02543,55,3.78,0,0.484,6.696,56.4,5.7321,5,370,17.6,7.18,23.9
5.824,0,18.1,0,0.532,6.242,64.7,3.4242,24,666,20.2,10.74,23
0.04684,0,3.41,0,0.489,6.417,66.1,3.0923,2,270,17.8,8.81,22.6
2.734,0,19.58,0,0.871,5.597,94.9,1.5257,5,403,14.7,21.45,15.4
0.02985,0,2.18,0,0.458,6.43,58.7,6.0622,3,222,18.7,5.21,28.7
1.6128,0,8.14,0,0.538,6.096,96.9,3.7598,4,307,21,20.34,13.5
0.08265,0,13.92,0,0.437,6.127,18.4,5.5027,4,289,16,8.58,23.9
0.07165,0,25.65,0,0.581,6.004,84.1,2.1974,2,188,19.1,14.27,20.3
5.8212,0,18.1,0,0.713,6.513,89.9,2.8016,24,666,20.2,10.29,20.2
0.03445,82.5,2.03,0,0.415,6.162,38.4,6.27,2,348,14.7,7.43,24.1
0.06263,0,11.93,0,0.573,6.593,69.1,2.4786,1,273,21,9.67,22.4
0.03871,52.5,5.32,0,0.405,6.209,31.3,7.3172,6,293,16.6,7.14,23.2
0.08829,12.5,7.87,0,0.524,6.012,66.6,5.5605,5,311,15.2,12.43,22.9
0.07022,0,4.05,0,0.51,6.02,47.2,3.5549,5,296,16.6,10.11,23.2
0.2909,0,21.89,0,0.624,6.174,93.6,1.6119,4,437,21.2,24.16,14
0.10328,25,5.13,0,0.453,5.927,47.2,6.932,8,284,19.7,9.22,19.6
0.01709,90,2.02,0,0.41,6.728,36.1,12.127,5,187,17,4.5,30.1
6.7177,0,18.1,0,0.713,6.749,92.6,2.3236,24,666,20.2,17.44,13.4
0.01096,55,2.25,0,0.389,6.453,31.9,7.3073,1,300,15.3,8.23,22
2.924,0,19.58,0,0.605,6.101,93,2.2834,5,403,14.7,9.81,25
0.01432,100,1.32,0,0.411,6.816,40.5,8.3248,5,256,15.1,3.95,31.6
0.01538,90,3.75,0,0.394,7.454,34.2,6.3361,3,244,15.9,3.11,44
0.84054,0,8.14,0,0.538,5.599,85.7,4.4546,4,307,21,16.51,13.9
2.0102,0,19.58,0,0.605,7.929,96.2,2.0459,5,403,14.7,3.7,50
0.0578,0,2.46,0,0.488,6.98,58.4,2.829,3,193,17.8,5.04,37.2
0.04379,80,3.37,0,0.398,5.787,31.1,6.6115,4,337,16.1,10.24,19.4
0.08014,0,5.96,0,0.499,5.85,41.5,3.9342,5,279,19.2,8.77,21
0.01778,95,1.47,0,0.403,7.135,13.9,7.6534,3,402,17,4.45,32.9
0.11425,0,13.89,1,0.55,6.373,92.4,3.3633,5,276,16.4,10.5,23
2.331,0,19.58,0,0.871,5.186,93.8,1.5296,5,403,14.7,28.32,17.8
3.3211,0,19.58,1,0.871,5.403,100,1.3216,5,403,14.7,26.82,13.4
9.7242,0,18.1,0,0.74,6.406,97.2,2.0651,24,666,20.2,19.52,17.1
0.51183,0,6.2,0,0.507,7.358,71.6,4.148,8,307,17.4,4.73,31.5
0.11747,12.5,7.87,0,0.524,6.009,82.9,6.2267,5,311,15.2,13.27,18.9
1.4963,0,19.58,0,0.871,5.404,100,1.5916,5,403,14.7,13.28,19.6
73.534,0,18.1,0,0.679,5.957,100,1.8026,24,666,20.2,20.62,8.8
0.0566,0,3.41,0,0.489,7.007,86.3,3.4217,2,270,17.8,5.5,23.6
0.88125,0,21.89,0,0.624,5.637,94.7,1.9799,4,437,21.2,18.34,14.3
51.136,0,18.1,0,0.597,5.757,100,1.413,24,666,20.2,10.11,15
0.76162,20,3.97,0,0.647,5.56,62.8,1.9865,5,264,13,10.45,22.8
0.04113,25,4.86,0,0.426,6.727,33.5,5.4007,4,281,19,5.29,28
0.04981,21,5.64,0,0.439,5.998,21.4,6.8147,4,243,16.8,8.43,23.4
5.4411,0,18.1,0,0.713,6.655,98.2,2.3552,24,666,20.2,17.73,15.2
3.4743,0,18.1,1,0.718,8.78,82.9,1.9047,24,666,20.2,5.29,21.9
0.0686,0,2.89,0,0.445,7.416,62.5,3.4952,2,276,18,6.19,33.2
88.976,0,18.1,0,0.671,6.968,91.9,1.4165,24,666,20.2,17.21,10.4
11.16,0,18.1,0,0.74,6.629,94.6,2.1247,24,666,20.2,23.27,13.4
0.17171,25,5.13,0,0.453,5.966,93.4,6.8185,8,284,19.7,14.44,16
0.28955,0,10.59,0,0.489,5.412,9.8,3.5875,4,277,18.6,29.55,23.7
0.32982,0,21.89,0,0.624,5.822,95.4,2.4699,4,437,21.2,15.03,18.4
0.15936,0,6.91,0,0.448,6.211,6.5,5.7209,3,233,17.9,7.44,24.7
0.02009,95,2.68,0,0.4161,8.034,31.9,5.118,4,224,14.7,2.88,50
0.17004,12.5,7.87,0,0.524,6.004,85.9,6.5921,5,311,15.2,17.1,18.9
9.9248,0,18.1,0,0.74,6.251,96.6,2.198,24,666,20.2,16.44,12.6
1.4634,0,19.58,0,0.605,7.489,90.8,1.9709,5,403,14.7,1.73,50
0.97617,0,21.89,0,0.624,5.757,98.4,2.346,4,437,21.2,17.31,15.6
2.2424,0,19.58,0,0.605,5.854,91.8,2.422,5,403,14.7,11.64,22.7
15.576,0,18.1,0,0.58,5.926,71,2.9084,24,666,20.2,18.13,19.1
0.3494,0,9.9,0,0.544,5.972,76.7,3.1025,4,304,18.4,9.97,20.3
0.03502,80,4.95,0,0.411,6.861,27.9,5.1167,4,245,19.2,3.33,28.5
5.7312,0,18.1,0,0.532,7.061,77,3.4106,24,666,20.2,7.01,25
41.529,0,18.1,0,0.693,5.531,85.4,1.6074,24,666,20.2,27.38,8.5
1.519,0,19.58,1,0.605,8.375,93.9,2.162,5,403,14.7,3.32,50
0.08387,0,12.83,0,0.437,5.874,36.6,4.5026,5,398,18.7,9.1,20.3
0.1415,0,6.91,0,0.448,6.169,6.6,5.7209,3,233,17.9,5.81,25.3
0.05023,35,6.06,0,0.4379,5.706,28.4,6.6407,1,304,16.9,12.43,17.1
14.334,0,18.1,0,0.614,6.229,88,1.9512,24,666,20.2,13.11,21.4
0.19802,0,10.59,0,0.489,6.182,42.4,3.9454,4,277,18.6,9.47,25
1.2236,0,19.58,0,0.605,6.943,97.4,1.8773,5,403,14.7,4.59,41.3
0.30347,0,7.38,0,0.493,6.312,28.9,5.4159,5,287,19.6,6.15,23
0.21409,22,5.86,0,0.431,6.438,8.9,7.3967,7,330,19.1,3.59,24.8
0.06588,0,2.46,0,0.488,7.765,83.3,2.741,3,193,17.8,7.56,39.8
0.06617,0,3.24,0,0.46,5.868,25.8,5.2146,4,430,16.9,9.97,19.3
0.17505,0,5.96,0,0.499,5.966,30.2,3.8473,5,279,19.2,10.13,24.7
7.9925,0,18.1,0,0.7,5.52,100,1.5331,24,666,20.2,24.56,12.3
0.35114,0,7.38,0,0.493,6.041,49.9,4.7211,5,287,19.6,7.7,20.4
0.12932,0,13.92,0,0.437,6.678,31.1,5.9604,4,289,16,6.27,28.6
8.983,0,18.1,1,0.77,6.212,97.4,2.1222,24,666,20.2,17.6,17.8
0.04527,0,11.93,0,0.573,6.12,76.7,2.2875,1,273,21,9.08,20.6
0.13914,0,4.05,0,0.51,5.572,88.5,2.5961,5,296,16.6,14.69,23.1
0.21038,20,3.33,0,0.4429,6.812,32.2,4.1007,5,216,14.9,4.85,35.1
10.062,0,18.1,0,0.584,6.833,94.3,2.0882,24,666,20.2,19.69,14.1
0.57529,0,6.2,0,0.507,8.337,73.3,3.8384,8,307,17.4,2.47,41.7
0.11069,0,13.89,1,0.55,5.951,93.8,2.8893,5,276,16.4,17.92,21.5
4.4223,0,18.1,0,0.584,6.003,94.5,2.5403,24,666,20.2,21.32,19.1
8.7167,0,18.1,0,0.693,6.471,98.8,1.7257,24,666,20.2,17.12,13.1
6.5388,0,18.1,1,0.631,7.016,97.5,1.2024,24,666,20.2,2.96,50
0.31827,0,9.9,0,0.544,5.914,83.2,3.9986,4,304,18.4,18.33,17.8
0.04666,80,1.52,0,0.404,7.107,36.6,7.309,2,329,12.6,8.61,30.3
9.8235,0,18.1,0,0.671,6.794,98.8,1.358,24,666,20.2,21.24,13.3
0.1712,0,8.56,0,0.52,5.836,91.9,2.211,5,384,20.9,18.66,19.5
4.7524,0,18.1,0,0.713,6.525,86.5,2.4358,24,666,20.2,18.13,14.1
0.43571,0,10.59,1,0.489,5.344,100,3.875,4,277,18.6,23.09,20
0.66351,20,3.97,0,0.647,7.333,100,1.8946,5,264,13,7.79,36
0.17783,0,9.69,0,0.585,5.569,73.5,2.3999,6,391,19.2,15.1,17.5
0.33983,22,5.86,0,0.431,6.108,34.9,8.0555,7,330,19.1,9.16,24.3
0.09849,0,25.65,0,0.581,5.879,95.8,2.0063,2,188,19.1,17.58,18.8
0.26169,0,9.9,0,0.544,6.023,90.4,2.834,4,304,18.4,11.72,19.4
0.03306,0,5.19,0,0.515,6.059,37.3,4.8122,5,224,20.2,8.51,20.6
0.03705,20,3.33,0,0.4429,6.968,37.2,5.2447,5,216,14.9,4.59,35.4
0.95577,0,8.14,0,0.538,6.047,88.8,4.4534,4,307,21,17.28,14.8
0.10793,0,8.56,0,0.52,6.195,54.4,2.7778,5,384,20.9,13,21.7
3.775,0,18.1,0,0.655,5.952,84.7,2.8715,24,666,20.2,17.15,19
0.01951,17.5,1.38,0,0.4161,7.104,59.5,9.2229,3,216,18.6,8.05,33
13.678,0,18.1,0,0.74,5.935,87.9,1.8206,24,666,20.2,34.02,8.4
2.4467,0,19.58,0,0.871,5.272,94,1.7364,5,403,14.7,16.14,13.1
3.697,0,18.1,0,0.718,4.963,91.4,1.7523,24,666,20.2,14,21.9
0.05497,0,5.19,0,0.515,5.985,45.4,4.8122,5,224,20.2,9.74,19
15.86,0,18.1,0,0.679,5.896,95.4,1.9096,24,666,20.2,24.39,8.3
0.03615,80,4.95,0,0.411,6.63,23.4,5.1167,4,245,19.2,4.7,27.9
8.4921,0,18.1,0,0.584,6.348,86.1,2.0527,24,666,20.2,17.64,14.5
0.03537,34,6.09,0,0.433,6.59,40.4,5.4917,7,329,16.1,9.5,22
0.29916,20,6.96,0,0.464,5.856,42.1,4.429,3,223,18.6,13,21.1
0.05602,0,2.46,0,0.488,7.831,53.6,3.1992,3,193,17.8,4.45,50
0.12083,0,2.89,0,0.445,8.069,76,3.4952,2,276,18,4.21,38.7
0.0315,95,1.47,0,0.403,6.975,15.3,7.6534,3,402,17,4.56,34.9
1.1308,0,8.14,0,0.538,5.713,94.1,4.233,4,307,21,22.6,12.7
1.8003,0,19.58,0,0.605,5.877,79.2,2.4259,5,403,14.7,12.14,23.8
0.01439,60,2.93,0,0.401,6.604,18.8,6.2196,1,265,15.6,4.38,29.1
0.22969,0,10.59,0,0.489,6.326,52.5,4.3549,4,277,18.6,10.97,24.4
0.13554,12.5,6.07,0,0.409,5.594,36.8,6.498,4,345,18.9,13.09,17.4
3.1636,0,18.1,0,0.655,5.759,48.2,3.0665,24,666,20.2,14.13,19.9
0.09178,0,4.05,0,0.51,6.416,84.1,2.6463,5,296,16.6,9.04,23.6
0.24522,0,9.9,0,0.544,5.782,71.7,4.0317,4,304,18.4,15.94,19.8
0.79041,0,9.9,0,0.544,6.122,52.8,2.6403,4,304,18.4,5.98,22.1
9.187,0,18.1,0,0.7,5.536,100,1.5804,24,666,20.2,23.6,11.3
0.17134,0,10.01,0,0.547,5.928,88.2,2.4631,6,432,17.8,15.76,18.3
3.535,0,19.58,1,0.871,6.152,82.6,1.7455,5,403,14.7,15.02,15.6
0.55007,20,3.97,0,0.647,7.206,91.6,1.9301,5,264,13,8.1,36.5
0.09299,0,25.65,0,0.581,5.961,92.9,2.0869,2,188,19.1,17.93,20.5
0.03113,0,4.39,0,0.442,6.014,48.5,8.0136,3,352,18.8,10.53,17.5
0.35233,0,21.89,0,0.624,6.454,98.4,1.8498,4,437,21.2,14.59,17.1
12.802,0,18.1,0,0.74,5.854,96.6,1.8956,24,666,20.2,23.79,10.8
0.17142,0,6.91,0,0.448,5.682,33.8,5.1004,3,233,17.9,10.21,19.3
0.62976,0,8.14,0,0.538,5.949,61.8,4.7075,4,307,21,8.26,20.4
5.2931,0,18.1,0,0.7,6.051,82.5,2.1678,24,666,20.2,18.76,23.2
0.14455,12.5,7.87,0,0.524,6.172,96.1,5.9505,5,311,15.2,19.15,27.1
0.14052,0,10.59,0,0.489,6.375,32.3,3.9454,4,277,18.6,9.38,28.1
5.6664,0,18.1,0,0.74,6.219,100,2.0048,24,666,20.2,16.59,18.4
2.7797,0,19.58,0,0.871,4.903,97.8,1.3459,5,403,14.7,29.29,11.8
0.06417,0,5.96,0,0.499,5.933,68.2,3.3603,5,279,19.2,9.68,18.9
0.12816,12.5,6.07,0,0.409,5.885,33,6.498,4,345,18.9,8.79,20.9
20.085,0,18.1,0,0.7,4.368,91.2,1.4395,24,666,20.2,30.63,8.8
0.13587,0,10.59,1,0.489,6.064,59.1,4.2392,4,277,18.6,14.66,24.4
0.09103,0,2.46,0,0.488,7.155,92.2,2.7006,3,193,17.8,4.82,37.9
0.05059,0,4.49,0,0.449,6.389,48,4.7794,3,247,18.5,9.62,23.9
0.26363,0,8.56,0,0.52,6.229,91.2,2.5451,5,384,20.9,15.55,19.4
0.37578,0,10.59,1,0.489,5.404,88.6,3.665,4,277,18.6,23.98,19.3
0.03551,25,4.86,0,0.426,6.167,46.7,5.4007,4,281,19,7.51,22.9
0.33147,0,6.2,0,0.507,8.247,70.4,3.6519,8,307,17.4,3.95,48.3
6.6549,0,18.1,0,0.713,6.317,83,2.7344,24,666,20.2,13.99,19.5
0.16439,22,5.86,0,0.431,6.433,49.1,7.8265,7,330,19.1,9.52,24.5
0.09512,0,12.83,0,0.437,6.286,45,4.5026,5,398,18.7,8.94,21.4
0.11504,0,2.89,0,0.445,6.163,69.6,3.4952,2,276,18,11.34,21.4
0.10008,0,2.46,0,0.488,6.563,95.6,2.847,3,193,17.8,5.68,32.5
0.98843,0,8.14,0,0.538,5.813,100,4.0952,4,307,21,19.88,14.5
0.17899,0,9.69,0,0.585,5.67,28.8,2.7986,6,391,19.2,17.6,23.1
0.7857,20,3.97,0,0.647,7.014,84.6,2.1329,5,264,13,14.79,30.7
28.656,0,18.1,0,0.597,5.155,100,1.5894,24,666,20.2,20.08,16.3
0.05188,0,4.49,0,0.449,6.015,45.1,4.4272,3,247,18.5,12.86,22.5
4.5419,0,18.1,0,0.77,6.398,88,2.5182,24,666,20.2,7.79,25
0.09252,30,4.93,0,0.428,6.606,42.2,6.1899,6,300,16.6,7.37,23.3
0.25387,0,6.91,0,0.448,5.399,95.3,5.87,3,233,17.9,30.81,14.4
1.2074,0,19.58,0,0.605,5.875,94.6,2.4259,5,403,14.7,14.43,17.4
0.05735,0,4.49,0,0.449,6.63,56.1,4.4377,3,247,18.5,6.53,26.6
0.40771,0,6.2,1,0.507,6.164,91.3,3.048,8,307,17.4,21.46,21.7
37.662,0,18.1,0,0.679,6.202,78.7,1.8629,24,666,20.2,14.52,10.9
0.10574,0,27.74,0,0.609,5.983,98.8,1.8681,4,711,20.1,18.07,13.6
8.2673,0,18.1,1,0.668,5.875,89.6,1.1296,24,666,20.2,8.88,50
5.6917,0,18.1,0,0.583,6.114,79.8,3.5459,24,666,20.2,14.98,19.1
0.21124,12.5,7.87,0,0.524,5.631,100,6.0821,5,311,15.2,29.93,16.5
0.13058,0,10.01,0,0.547,5.872,73.1,2.4775,6,432,17.8,15.37,20.4
0.36894,22,5.86,0,0.431,8.259,8.4,8.9067,7,330,19.1,3.54,42.8
0.09378,12.5,7.87,0,0.524,5.889,39,5.4509,5,311,15.2,15.71,21.7
0.22188,20,6.96,1,0.464,7.691,51.8,4.3665,3,223,18.6,6.58,35.2
0.44178,0,6.2,0,0.504,6.552,21.4,3.3751,8,307,17.4,3.76,31.5
0.22212,0,10.01,0,0.547,6.092,95.4,2.548,6,432,17.8,17.09,18.7
0.7258,0,8.14,0,0.538,5.727,69.5,3.7965,4,307,21,11.28,18.2
6.444,0,18.1,0,0.584,6.425,74.8,2.2004,24,666,20.2,12.03,16.1
0.06905,0,2.18,0,0.458,7.147,54.2,6.0622,3,222,18.7,5.33,36.2
0.32543,0,21.89,0,0.624,6.431,98.8,1.8125,4,437,21.2,15.39,18
2.3004,0,19.58,0,0.605,6.319,96.1,2.1,5,403,14.7,11.1,23.8
2.3139,0,19.58,0,0.605,5.88,97.3,2.3887,5,403,14.7,12.03,19.1
0.33045,0,6.2,0,0.507,6.086,61.5,3.6519,8,307,17.4,10.88,24
0.47547,0,9.9,0,0.544,6.113,58.8,4.0019,4,304,18.4,12.73,21
0.2498,0,21.89,0,0.624,5.857,98.2,1.6686,4,437,21.2,21.32,13.3
0.03961,0,5.19,0,0.515,6.037,34.5,5.9853,5,224,20.2,8.01,21.1
4.6688,0,18.1,0,0.713,5.976,87.9,2.5806,24,666,20.2,19.01,12.7
17.867,0,18.1,0,0.671,6.223,100,1.3861,24,666,20.2,21.78,10.2
0.06724,0,3.24,0,0.46,6.333,17.2,5.2146,4,430,16.9,7.34,22.6
8.0558,0,18.1,0,0.584,5.427,95.4,2.4298,24,666,20.2,18.14,13.8
7.526,0,18.1,0,0.713,6.417,98.3,2.185,24,666,20.2,19.31,13
11.108,0,18.1,0,0.668,4.906,100,1.1742,24,666,20.2,34.77,13.8
0.02875,28,15.04,0,0.464,6.211,28.9,3.6659,4,270,18.2,6.21,25
0.21719,0,10.59,1,0.489,5.807,53.8,3.6526,4,277,18.6,16.03,22.4
0.05644,40,6.41,1,0.447,6.758,32.9,4.0776,4,254,17.6,3.53,32.4
0.04294,28,15.04,0,0.464,6.249,77.3,3.615,4,270,18.2,10.59,20.6
0.01501,80,2.01,0,0.435,6.635,29.7,8.344,4,280,17,5.99,24.5
0.07151,0,4.49,0,0.449,6.121,56.8,3.7476,3,247,18.5,8.44,22.2
0.0837,45,3.44,0,0.437,7.185,38.9,4.5667,5,398,15.2,5.39,34.9
0.11432,0,8.56,0,0.52,6.781,71.3,2.8561,5,384,20.9,7.67,26.5
0.00632,18,2.31,0,0.538,6.575,65.2,4.09,1,296,15.3,4.98,24
4.2613,0,18.1,0,0.77,6.112,81.3,2.5091,24,666,20.2,12.67,22.6
0.14866,0,8.56,0,0.52,6.727,79.9,2.7778,5,384,20.9,9.42,27.5
